#           k/h    P           
 0.55313164E+00 0.18682527E+03
 0.56040955E+00 0.18159273E+03
 0.56778324E+00 0.17649539E+03
 0.57525396E+00 0.17151445E+03
 0.58282298E+00 0.16664372E+03
 0.59049159E+00 0.16188879E+03
 0.59826112E+00 0.15726054E+03
 0.60613286E+00 0.15276735E+03
 0.61410820E+00 0.14841002E+03
 0.62218845E+00 0.14418123E+03
 0.63037503E+00 0.14006952E+03
 0.67884243E+00 0.11872530E+03
 0.73103625E+00 0.10051960E+03
 0.78724313E+00 0.84996223E+02
 0.84777158E+00 0.71781494E+02
 0.91295379E+00 0.60550701E+02
 0.98314768E+00 0.51020802E+02
 0.10587386E+01 0.42943283E+02
 0.11401414E+01 0.36106094E+02
 0.12278029E+01 0.30327097E+02
 0.13222045E+01 0.25447321E+02
 0.14238642E+01 0.21332375E+02
 0.15333402E+01 0.17866106E+02
 0.16512336E+01 0.14949551E+02
 0.17781912E+01 0.12498138E+02
 0.19149102E+01 0.10439859E+02
 0.20621412E+01 0.87133160E+01
 0.22206922E+01 0.72665091E+01
 0.23914335E+01 0.60552149E+01
 0.25753026E+01 0.50420337E+01
 0.27733088E+01 0.41953111E+01
 0.29865391E+01 0.34882970E+01
 0.32161639E+01 0.28984251E+01
 0.34634435E+01 0.24066856E+01
 0.37297359E+01 0.19970710E+01
 0.40165024E+01 0.16561229E+01
 0.43253174E+01 0.13725345E+01
 0.46578765E+01 0.11368257E+01
 0.50160046E+01 0.94104850E+00
 0.54016681E+01 0.77854526E+00
 0.58169837E+01 0.64374775E+00
 0.62642317E+01 0.53200394E+00
 0.67458668E+01 0.43942767E+00
 0.72645335E+01 0.36277589E+00
 0.78230786E+01 0.29934686E+00
 0.84245682E+01 0.24688874E+00
 0.90723047E+01 0.20352754E+00
 0.97698431E+01 0.16770512E+00
 0.10521012E+02 0.13812572E+00
 0.11329937E+02 0.11371391E+00
 0.12201057E+02 0.93576595E-01
 0.13139154E+02 0.76973245E-01
 0.14149379E+02 0.63290119E-01
 0.15237276E+02 0.52018616E-01
 0.16408819E+02 0.42737857E-01
 0.17670437E+02 0.35099462E-01
 0.19029055E+02 0.28815463E-01
 0.20492134E+02 0.23647830E-01
 0.22067705E+02 0.19399909E-01
 0.23764414E+02 0.15909411E-01
 0.25591579E+02 0.13042353E-01
 0.27559227E+02 0.10688267E-01
 0.29678162E+02 0.87560890E-02
 0.31960014E+02 0.71707591E-02
 0.34417309E+02 0.58704722E-02
 0.37063538E+02 0.48043490E-02
 0.39913227E+02 0.39305147E-02
 0.42982018E+02 0.32145246E-02
 0.46286758E+02 0.26280601E-02
 0.49845589E+02 0.21478443E-02
 0.53678047E+02 0.17547557E-02
 0.57805168E+02 0.14330884E-02
 0.62249607E+02 0.11699492E-02
 0.67035767E+02 0.95475669E-03
 0.72189919E+02 0.77883044E-03
 0.77740349E+02 0.63505105E-03
 0.83717545E+02 0.51758235E-03
 0.90154297E+02 0.42164125E-03
 0.97085953E+02 0.34330878E-03
 0.10455056E+03 0.27937526E-03
