#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.109028E-01   0.151118E+08   0.151004E+08  -0.103579E+03   0.519730E+04   0.116343E+08   0.150837E+08   0.151101E+08   0.150837E+08  -0.357526E+00   0.793280E+07   0.793270E+07   0.314277E+01
   0.110246E-01   0.150587E+08   0.150470E+08   0.363358E+02   0.511470E+04   0.115561E+08   0.150303E+08   0.150569E+08   0.150303E+08  -0.356262E+00   0.790481E+07   0.790471E+07   0.316455E+01
   0.111478E-01   0.150052E+08   0.149933E+08   0.565728E+02   0.477915E+04   0.114777E+08   0.149766E+08   0.150033E+08   0.149766E+08  -0.354987E+00   0.787660E+07   0.787650E+07   0.318633E+01
   0.112723E-01   0.149512E+08   0.149391E+08   0.485079E+02   0.445421E+04   0.113989E+08   0.149224E+08   0.149493E+08   0.149224E+08  -0.353703E+00   0.784818E+07   0.784807E+07   0.320812E+01
   0.113983E-01   0.148968E+08   0.148844E+08   0.247496E+03   0.438987E+04   0.113198E+08   0.148678E+08   0.148949E+08   0.148678E+08  -0.352408E+00   0.781953E+07   0.781942E+07   0.322992E+01
   0.115256E-01   0.148420E+08   0.148294E+08   0.633434E+03   0.450854E+04   0.112404E+08   0.148127E+08   0.148401E+08   0.148127E+08  -0.351104E+00   0.779066E+07   0.779055E+07   0.325172E+01
   0.116544E-01   0.147868E+08   0.147739E+08   0.843775E+03   0.450330E+04   0.111607E+08   0.147573E+08   0.147848E+08   0.147573E+08  -0.349789E+00   0.776157E+07   0.776145E+07   0.327351E+01
   0.117846E-01   0.147311E+08   0.147180E+08   0.594481E+03   0.423766E+04   0.110808E+08   0.147014E+08   0.147291E+08   0.147014E+08  -0.348465E+00   0.773225E+07   0.773214E+07   0.329528E+01
   0.119163E-01   0.146750E+08   0.146617E+08   0.964958E+02   0.392745E+04   0.110005E+08   0.146451E+08   0.146730E+08   0.146451E+08  -0.347130E+00   0.770271E+07   0.770259E+07   0.331704E+01
   0.120494E-01   0.146185E+08   0.146049E+08  -0.138677E+03   0.384868E+04   0.109199E+08   0.145884E+08   0.146164E+08   0.145884E+08  -0.345785E+00   0.767295E+07   0.767283E+07   0.333876E+01
   0.121841E-01   0.145616E+08   0.145477E+08   0.634234E+02   0.395616E+04   0.108390E+08   0.145312E+08   0.145594E+08   0.145312E+08  -0.344430E+00   0.764296E+07   0.764283E+07   0.336046E+01
   0.123202E-01   0.145042E+08   0.144901E+08   0.300126E+03   0.394680E+04   0.107578E+08   0.144736E+08   0.145020E+08   0.144736E+08  -0.343065E+00   0.761274E+07   0.761262E+07   0.338212E+01
   0.124579E-01   0.144464E+08   0.144320E+08   0.145919E+03   0.369444E+04   0.106763E+08   0.144156E+08   0.144442E+08   0.144156E+08  -0.341689E+00   0.758230E+07   0.758217E+07   0.340373E+01
   0.125970E-01   0.143881E+08   0.143735E+08  -0.209736E+03   0.343424E+04   0.105946E+08   0.143571E+08   0.143859E+08   0.143571E+08  -0.340304E+00   0.755163E+07   0.755150E+07   0.342529E+01
   0.127378E-01   0.143295E+08   0.143145E+08  -0.177961E+03   0.341193E+04   0.105125E+08   0.142982E+08   0.143272E+08   0.142982E+08  -0.338908E+00   0.752073E+07   0.752060E+07   0.344678E+01
   0.128801E-01   0.142704E+08   0.142551E+08   0.374978E+03   0.351065E+04   0.104302E+08   0.142389E+08   0.142680E+08   0.142389E+08  -0.337501E+00   0.748960E+07   0.748947E+07   0.346821E+01
   0.130240E-01   0.142108E+08   0.141953E+08   0.844331E+03   0.343226E+04   0.103477E+08   0.141791E+08   0.142084E+08   0.141791E+08  -0.336085E+00   0.745824E+07   0.745811E+07   0.348956E+01
   0.131695E-01   0.141508E+08   0.141350E+08   0.667116E+03   0.316736E+04   0.102649E+08   0.141189E+08   0.141484E+08   0.141189E+08  -0.334657E+00   0.742666E+07   0.742652E+07   0.351082E+01
   0.133167E-01   0.140904E+08   0.140743E+08   0.969857E+02   0.300951E+04   0.101818E+08   0.140582E+08   0.140879E+08   0.140582E+08  -0.333220E+00   0.739484E+07   0.739470E+07   0.353199E+01
   0.134655E-01   0.140295E+08   0.140131E+08  -0.170277E+03   0.307432E+04   0.100986E+08   0.139972E+08   0.140270E+08   0.139972E+08  -0.331772E+00   0.736280E+07   0.736265E+07   0.355306E+01
   0.136159E-01   0.139682E+08   0.139515E+08   0.230032E+02   0.310763E+04   0.100152E+08   0.139356E+08   0.139656E+08   0.139356E+08  -0.330314E+00   0.733052E+07   0.733037E+07   0.357402E+01
